,weight_hg
0,815
1,726
2,929
3,794
4,946
5,802
6,1162
7,954
8,995
9,702
10,882
11,701
12,1037
13,1116
14,896
15,924
16,779
17,969
18,760
19,908
20,714
21,746
22,792
23,915
24,965
25,675
26,1073
27,793
28,782
29,882
30,715
31,947
32,665
33,879
34,675
35,884
36,695
37,1218
38,719
39,881
40,575
41,876
42,850
43,865
44,958
45,667
46,706
47,847
48,1013
49,856
50,1095
51,834
52,727
53,986
54,773
55,1400
56,674
57,884
58,988
59,952
60,566
61,717
62,717
63,802
64,988
65,662
66,807
67,1053
68,683
69,749
70,738
71,604
72,774
73,768
74,1022
75,963
76,923
77,988
78,887
79,987
80,852
81,748
82,920
83,744
84,823
85,627
86,778
87,882
88,590
89,730
90,864
91,866
92,737
93,654
94,696
95,775
96,727
97,797
98,744
99,968
100,866
101,742
102,920
103,814
104,646
105,954
106,853
107,900
108,835
109,851
110,897
111,872
112,822
113,1112
114,987
115,1105
116,782
117,869
118,1413
119,789
120,690
121,792
122,699
123,1212
124,878
125,706
126,822
127,992
128,760
129,988
130,759
131,898
132,782
133,831
134,996
135,742
136,968
137,916
138,1080
139,788
140,949
141,906
142,1069
143,874
144,879
145,1154
146,790
147,887
148,866
149,806
150,966
151,1099
152,771
153,951
154,1118
155,895
156,1060
157,951
158,721
159,872
160,978
161,974
162,958
163,1123
164,900
165,948
166,950
167,739
168,1036
169,777
170,1080
171,840
172,964
173,707
174,705
175,851
176,865
177,972
178,822
179,842
180,723
181,896
182,755
183,732
184,701
185,783
186,1164
187,799
188,908
189,677
190,858
191,852
192,1033
193,1034
194,725
195,711
196,678
197,782
198,909
199,840
200,1086
201,758
202,833
203,870
204,728
205,1109
206,945
207,1141
208,907
209,846
210,818
211,869
212,682
213,680
214,947
215,474
216,1158
217,729
218,1078
219,540
220,854
221,871
222,1071
223,791
224,1096
225,1150
226,866
227,756
228,834
229,812
230,845
231,941
232,644
233,1124
234,907
235,718
236,971
237,813
238,755
239,797
240,648
241,1079
242,874
243,982
244,893
245,1087
246,775
247,801
248,874
249,568
250,1174
251,863
252,970
253,779
254,556
255,533
256,933
257,866
258,1096
259,676
260,718
261,916
262,871
263,701
264,1115
265,1084
266,637
267,964
268,1054
269,887
270,1145
271,890
272,688
273,710
274,1021
275,784
276,1105
277,819
278,871
279,869
280,775
281,1098
282,965
283,674
284,1026
285,601
286,676
287,867
288,826
289,862
290,821
291,675
292,860
293,954
294,970
295,895
296,1016
297,758
298,715
299,884
300,459
301,756
302,995
303,1138
304,840
305,1114
306,902
307,924
308,860
309,842
310,939
311,921
312,724
313,886
314,753
315,857
316,980
317,744
318,680
319,677
320,735
321,649
322,766
323,860
324,809
325,801
326,773
327,880
328,905
329,866
330,845
331,1203
332,769
333,995
334,1054
335,872
336,750
337,865
338,962
339,727
340,785
341,752
342,744
343,818
344,873
345,697
346,824
347,999
348,867
349,725
350,728
351,715
352,1274
353,961
354,1018
355,869
356,840
357,834
358,733
359,735
360,766
361,858
362,560
363,754
364,941
365,920
366,905
367,1021
368,650
369,977
370,1130
371,894
372,763
373,1241
374,876
375,689
376,736
377,759
378,702
379,1018
380,887
381,1266
382,842
383,699
384,713
385,1099
386,1042
387,633
388,921
389,955
390,709
391,773
392,781
393,1017
394,1028
395,910
396,787
397,781
398,931
399,793
400,812
401,621
402,758
403,745
404,819
405,714
406,865
407,1091
408,780
409,942
410,832
411,838
412,987
413,958
414,962
415,545
416,777
417,819
418,885
419,791
420,868
421,854
422,1008
423,807
424,1021
425,922
426,656
427,864
428,812
429,709
430,870
431,780
432,734
433,819
434,618
435,732
436,682
437,910
438,795
439,859
440,694
441,1075
442,657
443,690
444,700
445,842
446,949
447,715
448,1010
449,700
450,825
451,810
452,807
453,819
454,684
455,904
456,906
457,1094
458,774
459,904
460,992
461,777
462,628
463,791
464,662
465,868
466,768
467,856
468,942
469,799
470,856
471,899
472,1204
473,744
474,809
475,732
476,778
477,603
478,724
479,830
480,784
481,663
482,760
483,937
484,931
485,756
486,833
487,757
488,1008
489,1042
490,692
491,910
492,861
493,835
494,994
495,645
496,613
497,708
498,889
499,836
500,1180
501,859
502,892
503,751
504,778
505,831
506,749
507,630
508,880
509,722
510,621
511,750
512,969
513,854
514,907
515,858
516,866
517,927
518,910
519,942
520,736
521,666
522,784
523,1208
524,999
525,804
526,951
527,880
528,757
529,819
530,972
531,945
532,912
533,761
534,902
535,813
536,1066
537,782
538,1018
539,818
540,847
541,1005
542,925
543,651
544,867
545,867
546,914
547,771
548,635
549,872
550,894
551,866
552,829
553,607
554,1029
555,681
556,889
557,716
558,816
559,885
560,863
561,942
562,958
563,625
564,772
565,722
566,975
567,879
568,1071
569,872
570,742
571,649
572,654
573,871
574,942
575,837
576,745
577,1087
578,1019
579,906
580,831
581,862
582,1014
583,926
584,808
585,972
586,823
587,659
588,878
589,918
590,1114
591,740
592,949
593,698
594,968
