,chest_circumference
0,1074
1,1021
2,1120
3,1114
4,1048
5,1066
6,1208
7,1087
8,1181
9,964
10,1117
11,961
12,1151
13,1231
14,1060
15,1092
16,1085
17,1118
18,999
19,1127
20,1000
21,977
22,1079
23,1011
24,1098
25,957
26,1158
27,964
28,971
29,1057
30,957
31,1108
32,947
33,1043
34,965
35,1174
36,951
37,1182
38,981
39,1086
40,865
41,1205
42,1013
43,1152
44,1096
45,957
46,985
47,1063
48,1137
49,1106
50,1166
51,1081
52,1006
53,1153
54,1037
55,1469
56,901
57,1071
58,1263
59,1146
60,858
61,1044
62,904
63,1033
64,1160
65,971
66,1050
67,1213
68,944
69,989
70,975
71,939
72,1091
73,983
74,1129
75,1205
76,1123
77,1129
78,1048
79,1063
80,1098
81,972
82,1127
83,963
84,1098
85,953
86,1024
87,1043
88,902
89,1008
90,1027
91,1044
92,917
93,917
94,924
95,994
96,1001
97,1069
98,995
99,1104
100,1045
101,1015
102,1109
103,991
104,844
105,1176
106,1085
107,1085
108,1021
109,1096
110,1063
111,1030
112,1106
113,1163
114,1089
115,1149
116,1041
117,1056
118,1358
119,1025
120,1000
121,1026
122,989
123,1251
124,1030
125,970
126,1035
127,1076
128,1038
129,1113
130,1011
131,1024
132,997
133,1057
134,1082
135,1002
136,1132
137,1123
138,1175
139,1021
140,1115
141,1112
142,1165
143,1056
144,1048
145,1137
146,1041
147,1027
148,1021
149,1001
150,1126
151,1225
152,1070
153,1102
154,1194
155,1097
156,1208
157,1116
158,995
159,1092
160,1079
161,1179
162,1084
163,1150
164,1098
165,1142
166,1071
167,1021
168,1241
169,1027
170,1167
171,1082
172,1139
173,947
174,948
175,1058
176,1102
177,1179
178,1028
179,1048
180,969
181,1125
182,1049
183,957
184,913
185,995
186,1237
187,1018
188,1059
189,907
190,1063
191,1017
192,1130
193,1156
194,978
195,963
196,965
197,956
198,1080
199,1078
200,1158
201,1013
202,1037
203,1039
204,985
205,1285
206,1082
207,1157
208,1049
209,1063
210,1061
211,1120
212,913
213,941
214,1151
215,810
216,1163
217,972
218,1091
219,846
220,1092
221,1071
222,1172
223,1035
224,1203
225,1212
226,1047
227,977
228,1014
229,1041
230,1082
231,1166
232,967
233,1171
234,1078
235,963
236,1101
237,1053
238,1027
239,972
240,915
241,1142
242,1081
243,1108
244,1069
245,1140
246,1018
247,1096
248,1127
249,907
250,1241
251,1092
252,1178
253,1031
254,872
255,884
256,1121
257,1063
258,1242
259,949
260,953
261,1106
262,1094
263,954
264,1242
265,1166
266,904
267,1071
268,1182
269,1052
270,1162
271,1069
272,957
273,1020
274,1198
275,1079
276,1172
277,1008
278,1168
279,1027
280,1068
281,1139
282,1076
283,1045
284,1231
285,913
286,960
287,1043
288,1089
289,1019
290,1097
291,963
292,1074
293,1069
294,1168
295,1087
296,1173
297,1002
298,1022
299,1076
300,820
301,1030
302,1131
303,1183
304,999
305,1115
306,1072
307,1063
308,1099
309,1043
310,1113
311,1121
312,1015
313,1011
314,1058
315,1034
316,1138
317,937
318,953
319,976
320,1008
321,893
322,1024
323,1029
324,1066
325,1011
326,988
327,1068
328,1065
329,962
330,1094
331,1228
332,979
333,1094
334,1201
335,1054
336,1080
337,1123
338,1106
339,937
340,962
341,992
342,998
343,1056
344,1131
345,969
346,1000
347,1145
348,1118
349,1020
350,953
351,946
352,1324
353,1088
